Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
3,Yes,3,599,40722,Number prefix,No,
3,Yes,3,600,40744,Number prefix,No,
3,Yes,3,601,4092,Number prefix,No,
3,Yes,3,602,4094,Number prefix,No,
3,Yes,3,603,4176,Number prefix,No,
3,Yes,3,604,4177,Number prefix,No,
3,Yes,3,605,4178,Number prefix,No,
3,Yes,3,606,4179,Number prefix,No,
3,Yes,3,607,420602,Number prefix,No,
3,Yes,3,608,420603,Number prefix,No,
3,Yes,3,609,420608,Number prefix,No,
3,Yes,3,610,421903,Number prefix,No,
3,Yes,3,611,421905,Number prefix,No,
3,Yes,3,612,42378,Number prefix,No,
3,Yes,3,613,42379,Number prefix,No,
3,Yes,3,614,43650,Number prefix,No,
3,Yes,3,615,43660,Number prefix,No,
3,Yes,3,616,43664,Number prefix,No,
3,Yes,3,617,43676,Number prefix,No,
3,Yes,3,618,43699,Number prefix,No,
3,Yes,3,619,440,Number prefix,No,
3,Yes,3,620,441,Number prefix,No,
3,Yes,3,621,442,Number prefix,No,
3,Yes,3,622,443,Number prefix,No,
3,Yes,3,623,44385,Number prefix,No,
3,Yes,3,624,444,Number prefix,No,
3,Yes,3,625,445,Number prefix,No,
3,Yes,3,626,446,Number prefix,No,
3,Yes,3,627,4470,Number prefix,No,
3,Yes,3,628,4471,Number prefix,No,
3,Yes,3,629,4472,Number prefix,No,
3,Yes,3,630,4473,Number prefix,No,
3,Yes,3,631,4474,Number prefix,No,
3,Yes,3,632,447488,Number prefix,No,
3,Yes,3,633,4475,Number prefix,No,
3,Yes,3,634,4475896,Number prefix,No,
3,Yes,3,635,447624,Number prefix,No,
3,Yes,3,636,447781,Number prefix,No,
3,Yes,3,637,447785,Number prefix,No,
3,Yes,3,638,447797,Number prefix,No,
3,Yes,3,639,447802,Number prefix,No,
3,Yes,3,640,4478228,Number prefix,No,
3,Yes,3,641,4478297,Number prefix,No,
3,Yes,3,642,447870,Number prefix,No,
3,Yes,3,643,4478921,Number prefix,No,
3,Yes,3,644,447953,Number prefix,No,
3,Yes,3,645,447958,Number prefix,No,
3,Yes,3,646,447973,Number prefix,No,
3,Yes,3,647,448,Number prefix,No,
3,Yes,3,648,449,Number prefix,No,
3,Yes,3,649,44973,Number prefix,No,
3,Yes,3,650,4526,Number prefix,No,
3,Yes,3,651,4528,Number prefix,No,
3,Yes,3,652,45311,Number prefix,No,
3,Yes,3,653,45313,Number prefix,No,
3,Yes,3,654,45401,Number prefix,No,
3,Yes,3,655,45405,Number prefix,No,
3,Yes,3,656,46705,Number prefix,No,
3,Yes,3,657,46707,Number prefix,No,
3,Yes,3,658,46708,Number prefix,No,
3,Yes,3,659,4673130,Number prefix,No,
3,Yes,3,660,467350,Number prefix,No,
3,Yes,3,661,467354,Number prefix,No,
3,Yes,3,662,4673547,Number prefix,No,
3,Yes,3,663,4673548,Number prefix,No,
3,Yes,3,665,46765,Number prefix,No,
3,Yes,3,666,474791,Number prefix,No,
3,Yes,3,667,47900,Number prefix,No,
3,Yes,3,668,47920,Number prefix,No,
3,Yes,3,669,48501,Number prefix,No,
3,Yes,3,670,48601,Number prefix,No,
3,Yes,3,671,48602,Number prefix,No,
3,Yes,3,672,4869900,Number prefix,No,
3,Yes,3,673,48790,Number prefix,No,
3,Yes,3,674,49151,Number prefix,No,
3,Yes,3,675,49157,Number prefix,No,
3,Yes,3,676,4915890,Number prefix,No,
